epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.88867,1.76532,3.91351,1.74304,0.00689,0.35647,0.0572,0.04183,1.46416,3.75254,1.60196,0.0688611,0.00163889,0.00163889
2,14.9775,1.51091,3.52242,1.51278,0.55961,0.16213,0.13631,0.09721,1.44565,3.1389,1.48179,0.0370854,0.00319647,0.00319647
3,21.8976,1.46247,3.03623,1.49622,0.46693,0.21736,0.2052,0.14831,1.41238,2.75903,1.51286,0.00519961,0.00464406,0.00464406
4,29.0462,1.41774,2.80318,1.45696,0.29534,0.32939,0.2696,0.19032,1.35117,2.5909,1.4206,0.004505,0.004505,0.004505
5,35.9038,1.36538,2.57317,1.42827,0.32795,0.34031,0.2673,0.181,1.38072,2.39516,1.40206,0.00434,0.00434,0.00434
6,43.2063,1.37956,2.42865,1.42561,0.36934,0.40208,0.33271,0.22251,1.323,2.23002,1.38267,0.004175,0.004175,0.004175
7,50.1708,1.34059,2.26355,1.38598,0.38972,0.46032,0.37813,0.25238,1.29052,2.0928,1.38882,0.00401,0.00401,0.00401
8,57.4318,1.30918,2.19217,1.37514,0.41083,0.45238,0.4113,0.27064,1.30559,2.00318,1.37106,0.003845,0.003845,0.003845
9,64.4463,1.30447,2.15413,1.36111,0.4584,0.47222,0.43601,0.29327,1.26641,1.93651,1.34079,0.00368,0.00368,0.00368
10,71.4051,1.24722,2.00289,1.34835,0.45598,0.4772,0.43155,0.28967,1.27737,1.90862,1.35134,0.003515,0.003515,0.003515
11,78.5102,1.25915,1.97407,1.33215,0.47761,0.52132,0.45376,0.29461,1.26927,1.88419,1.35877,0.00335,0.00335,0.00335
12,85.2567,1.22746,1.91608,1.30811,0.48798,0.49902,0.46496,0.30752,1.2554,1.8843,1.32437,0.003185,0.003185,0.003185
13,92.4618,1.20515,1.89784,1.30606,0.52029,0.50508,0.47308,0.31829,1.2341,1.78251,1.32867,0.00302,0.00302,0.00302
14,99.8564,1.19571,1.85381,1.29515,0.49732,0.49518,0.47209,0.31811,1.22791,1.80274,1.32307,0.002855,0.002855,0.002855
15,106.839,1.18683,1.8012,1.29173,0.54735,0.49885,0.49623,0.3253,1.21644,1.76957,1.29725,0.00269,0.00269,0.00269
16,113.87,1.19358,1.78885,1.27873,0.52869,0.51096,0.51691,0.34832,1.22097,1.72862,1.31762,0.002525,0.002525,0.002525
17,120.948,1.20662,1.75139,1.27827,0.48926,0.52212,0.47724,0.3279,1.23536,1.76756,1.30264,0.00236,0.00236,0.00236
18,127.968,1.18091,1.75178,1.27707,0.54841,0.51937,0.51679,0.34795,1.18607,1.6332,1.29154,0.002195,0.002195,0.002195
19,134.749,1.14736,1.68139,1.26794,0.54755,0.53532,0.53667,0.35643,1.2066,1.6103,1.29952,0.00203,0.00203,0.00203
20,141.723,1.17641,1.67596,1.2678,0.54539,0.54534,0.52054,0.35216,1.20654,1.64647,1.30147,0.001865,0.001865,0.001865
21,149.562,1.10405,1.78497,1.24222,0.54228,0.52663,0.49847,0.33134,1.21,1.67625,1.30462,0.0017,0.0017,0.0017
22,156.515,1.0953,1.73687,1.24278,0.58816,0.52271,0.52163,0.3543,1.18946,1.62587,1.28905,0.001535,0.001535,0.001535
23,163.361,1.08562,1.71848,1.22638,0.55263,0.56483,0.55507,0.3814,1.16923,1.56884,1.27326,0.00137,0.00137,0.00137
24,170.001,1.05917,1.64633,1.2118,0.55443,0.53433,0.5303,0.36879,1.18834,1.60424,1.27879,0.001205,0.001205,0.001205
25,177.004,1.06616,1.63341,1.21528,0.55398,0.56716,0.55357,0.38387,1.18066,1.54991,1.27953,0.00104,0.00104,0.00104
26,183.776,1.03038,1.60932,1.19888,0.53997,0.56724,0.54755,0.37735,1.17079,1.57228,1.27158,0.000875,0.000875,0.000875
27,190.654,1.0312,1.56356,1.19318,0.57736,0.54938,0.55961,0.38595,1.16618,1.52602,1.2675,0.00071,0.00071,0.00071
28,197.5,1.02556,1.5295,1.18631,0.56944,0.55591,0.56055,0.3889,1.16086,1.52827,1.26113,0.000545,0.000545,0.000545
29,204.271,1.04556,1.56202,1.19789,0.56233,0.55521,0.55924,0.38961,1.15273,1.51781,1.25861,0.00038,0.00038,0.00038
30,211.11,0.99906,1.53007,1.18253,0.55898,0.56557,0.55368,0.38373,1.15793,1.53668,1.2589,0.000215,0.000215,0.000215
