epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.76365,1.75164,3.82094,1.67386,0.01154,0.3692,0.08847,0.06917,1.34718,3.58327,1.40431,0.0688611,0.00163889,0.00163889
2,15.5606,1.52068,3.32786,1.49091,0.41585,0.21872,0.19831,0.14077,1.43064,2.86067,1.40455,0.0370854,0.00319647,0.00319647
3,22.4913,1.46828,2.89433,1.46319,0.28854,0.29396,0.24256,0.1661,1.38873,2.60419,1.42357,0.00519961,0.00464406,0.00464406
4,29.6071,1.4497,2.67889,1.44412,0.31995,0.35228,0.3081,0.20309,1.40535,2.4154,1.41688,0.004505,0.004505,0.004505
5,36.4792,1.39749,2.50184,1.42309,0.42304,0.41436,0.345,0.22911,1.38795,2.25286,1.41114,0.00434,0.00434,0.00434
6,43.6136,1.39158,2.39121,1.41697,0.41903,0.3981,0.35992,0.23396,1.3674,2.26337,1.40915,0.004175,0.004175,0.004175
7,50.8421,1.37928,2.258,1.39528,0.39035,0.45727,0.39419,0.26271,1.33044,2.00645,1.36713,0.00401,0.00401,0.00401
8,57.5847,1.36428,2.21216,1.40257,0.44321,0.41665,0.39145,0.25787,1.3361,2.01902,1.3762,0.003845,0.003845,0.003845
9,64.5985,1.36296,2.20252,1.3892,0.42012,0.4576,0.39442,0.2511,1.34152,1.98349,1.38806,0.00368,0.00368,0.00368
10,71.3652,1.30786,2.04307,1.36311,0.41437,0.4665,0.41764,0.28033,1.33213,1.96271,1.36314,0.003515,0.003515,0.003515
11,78.2461,1.3067,2.00762,1.33761,0.46606,0.43732,0.42781,0.28825,1.32863,1.9712,1.3948,0.00335,0.00335,0.00335
12,85.9077,1.27438,1.96593,1.32259,0.44373,0.52362,0.44272,0.29407,1.31443,1.9316,1.35412,0.003185,0.003185,0.003185
13,92.6788,1.27288,1.95712,1.33336,0.45726,0.49467,0.46542,0.31523,1.29427,1.78336,1.34246,0.00302,0.00302,0.00302
14,99.614,1.26022,1.90935,1.32407,0.4686,0.479,0.4704,0.31803,1.28578,1.85629,1.34003,0.002855,0.002855,0.002855
15,106.712,1.24714,1.88113,1.31178,0.49646,0.46852,0.456,0.30822,1.27627,1.81721,1.31588,0.00269,0.00269,0.00269
16,114.386,1.26507,1.86527,1.30046,0.46538,0.50087,0.47617,0.32119,1.25773,1.75585,1.31519,0.002525,0.002525,0.002525
17,121.338,1.25934,1.81614,1.29637,0.49746,0.4619,0.48183,0.32912,1.27028,1.78545,1.31765,0.00236,0.00236,0.00236
18,128.16,1.24113,1.81709,1.29783,0.5125,0.49278,0.47577,0.3271,1.2428,1.74227,1.29107,0.002195,0.002195,0.002195
19,135.087,1.21643,1.78409,1.29429,0.47708,0.49701,0.47597,0.32541,1.23326,1.73687,1.28953,0.00203,0.00203,0.00203
20,141.903,1.23108,1.73469,1.28273,0.52406,0.49651,0.49889,0.33974,1.25445,1.70508,1.31144,0.001865,0.001865,0.001865
21,149.774,1.1797,1.83145,1.27823,0.51653,0.48085,0.48364,0.32767,1.26064,1.76605,1.30315,0.0017,0.0017,0.0017
22,156.524,1.17521,1.80382,1.27251,0.5301,0.53003,0.51642,0.35315,1.23105,1.69132,1.2904,0.001535,0.001535,0.001535
23,163.312,1.14157,1.77624,1.24423,0.56669,0.4751,0.50664,0.34934,1.23542,1.68834,1.27546,0.00137,0.00137,0.00137
24,170.032,1.14934,1.74354,1.24739,0.50778,0.50726,0.49188,0.33875,1.22938,1.71174,1.28064,0.001205,0.001205,0.001205
25,176.701,1.14985,1.74853,1.24715,0.56999,0.45856,0.50723,0.35324,1.23218,1.70063,1.27746,0.00104,0.00104,0.00104
26,183.47,1.10414,1.71001,1.22789,0.54266,0.48421,0.5066,0.35249,1.22333,1.6957,1.28033,0.000875,0.000875,0.000875
27,190.206,1.11088,1.65539,1.23422,0.57391,0.48658,0.52531,0.36426,1.21615,1.6502,1.27582,0.00071,0.00071,0.00071
28,196.943,1.09853,1.63333,1.21979,0.52667,0.5197,0.51857,0.36338,1.2247,1.6603,1.28481,0.000545,0.000545,0.000545
29,204.165,1.11051,1.67176,1.22935,0.58087,0.48046,0.52441,0.36894,1.22038,1.64864,1.27672,0.00038,0.00038,0.00038
30,210.881,1.07471,1.62949,1.2103,0.52449,0.5092,0.52515,0.3697,1.21391,1.64535,1.27474,0.000215,0.000215,0.000215
