epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.88709,2.49948,4.15605,2.30336,0.00267,0.31292,0.00692,0.00293,2.05776,3.90714,2.03378,0.0688611,0.00163889,0.00163889
2,14.9494,1.95639,3.8723,1.83875,0.66658,0.03546,0.04618,0.02927,1.86328,3.5345,1.76454,0.0370854,0.00319647,0.00319647
3,21.9509,1.90697,3.55431,1.77824,0.12632,0.12501,0.08478,0.05549,1.89532,3.1911,1.79227,0.00519961,0.00464406,0.00464406
4,29.4698,1.85311,3.35255,1.7364,0.14342,0.18901,0.13556,0.0909,1.77364,3.00506,1.6547,0.004505,0.004505,0.004505
5,36.6876,1.79072,3.1779,1.69883,0.37266,0.20907,0.15633,0.10256,1.72812,2.88473,1.66379,0.00434,0.00434,0.00434
6,43.8451,1.76924,3.10549,1.69463,0.22282,0.19969,0.14606,0.09166,1.69719,2.84503,1.64885,0.004175,0.004175,0.004175
7,50.9436,1.75485,2.97875,1.66107,0.2106,0.25885,0.19409,0.12426,1.63963,2.59285,1.55863,0.00401,0.00401,0.00401
8,58.102,1.73546,2.89571,1.64833,0.279,0.2558,0.21443,0.13537,1.6523,2.65942,1.62145,0.003845,0.003845,0.003845
9,65.1335,1.74358,2.9156,1.63998,0.2664,0.24373,0.19692,0.11769,1.64836,2.60334,1.60159,0.00368,0.00368,0.00368
10,72.0058,1.64604,2.71716,1.58395,0.27508,0.22501,0.2127,0.13644,1.64105,2.56469,1.62897,0.003515,0.003515,0.003515
11,79.3813,1.67086,2.69301,1.57725,0.44378,0.2507,0.24104,0.14804,1.61232,2.78819,1.52715,0.00335,0.00335,0.00335
12,86.3377,1.63421,2.65504,1.54759,0.33499,0.29883,0.2573,0.16707,1.60139,2.35416,1.50382,0.003185,0.003185,0.003185
13,93.2414,1.61869,2.61107,1.54838,0.33528,0.30186,0.26052,0.1673,1.61062,2.36877,1.54554,0.00302,0.00302,0.00302
14,100.368,1.60195,2.56304,1.54131,0.34191,0.30833,0.2586,0.16335,1.60531,2.38061,1.54205,0.002855,0.002855,0.002855
15,107.348,1.58803,2.49211,1.53102,0.355,0.32158,0.27232,0.16761,1.57492,2.4161,1.4841,0.00269,0.00269,0.00269
16,114.426,1.59825,2.54688,1.51656,0.39847,0.31343,0.27499,0.17013,1.57,2.30607,1.51967,0.002525,0.002525,0.002525
17,121.511,1.59589,2.46505,1.50344,0.38083,0.32759,0.29444,0.18477,1.54778,2.29883,1.48736,0.00236,0.00236,0.00236
18,128.587,1.56922,2.44856,1.51162,0.3755,0.33404,0.2935,0.18009,1.57548,2.26148,1.51806,0.002195,0.002195,0.002195
19,135.398,1.54532,2.3915,1.49937,0.40411,0.33284,0.30488,0.19173,1.52679,2.2344,1.47307,0.00203,0.00203,0.00203
20,142.567,1.56355,2.3933,1.49218,0.36194,0.3661,0.30058,0.18603,1.51775,2.24983,1.47751,0.001865,0.001865,0.001865
21,150.742,1.50562,2.48972,1.49955,0.33969,0.30951,0.26367,0.15999,1.53499,2.40422,1.53379,0.0017,0.0017,0.0017
22,157.632,1.47958,2.41947,1.48184,0.38637,0.37737,0.31019,0.1914,1.51484,2.21033,1.46175,0.001535,0.001535,0.001535
23,164.682,1.46708,2.39003,1.46042,0.40469,0.3861,0.32319,0.20097,1.48683,2.1983,1.43738,0.00137,0.00137,0.00137
24,171.747,1.45161,2.32969,1.44797,0.40143,0.32239,0.30789,0.19721,1.48428,2.24031,1.44419,0.001205,0.001205,0.001205
25,178.785,1.4485,2.34209,1.44604,0.40557,0.36664,0.33214,0.20917,1.4894,2.15326,1.42501,0.00104,0.00104,0.00104
26,185.946,1.43424,2.29135,1.43283,0.43439,0.35032,0.32444,0.20919,1.48699,2.1205,1.4238,0.000875,0.000875,0.000875
27,192.831,1.4127,2.26754,1.4235,0.37509,0.38989,0.33767,0.21521,1.46486,2.10055,1.414,0.00071,0.00071,0.00071
28,199.657,1.39928,2.22042,1.40748,0.41401,0.37558,0.33437,0.21161,1.4727,2.10027,1.41643,0.000545,0.000545,0.000545
29,206.348,1.41907,2.2476,1.41797,0.45649,0.34545,0.34144,0.21571,1.47692,2.09854,1.42091,0.00038,0.00038,0.00038
30,213.261,1.38491,2.20707,1.40916,0.43136,0.35579,0.34427,0.2166,1.46807,2.08355,1.41566,0.000215,0.000215,0.000215
