epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.69663,1.29696,3.64511,1.426,0.74792,0.0403,0.11925,0.09335,1.23065,3.52201,1.38293,0.0705,0.00327778,0.00327778
2,15.9365,1.32786,2.92751,1.41682,0.35792,0.24215,0.23579,0.16443,1.3568,2.77445,1.46818,0.0402818,0.00639294,0.00639294
3,23.1454,1.3666,2.55258,1.44226,0.26267,0.29913,0.20991,0.12835,1.58428,2.75901,1.66601,0.00984367,0.00928811,0.00928811
4,30.053,1.40582,2.41938,1.4443,0.25572,0.34947,0.21132,0.12836,1.63963,2.67214,1.5847,0.00901,0.00901,0.00901
5,36.9497,1.37087,2.32336,1.44222,0.25731,0.28503,0.18515,0.1017,1.63888,2.80252,1.6353,0.00868,0.00868,0.00868
6,43.8456,1.41203,2.24952,1.45957,0.36449,0.39525,0.32098,0.20411,1.43269,2.26374,1.4977,0.00835,0.00835,0.00835
7,50.5737,1.38982,2.1044,1.4394,0.46846,0.35593,0.35803,0.23097,1.408,2.15698,1.45195,0.00802,0.00802,0.00802
8,57.307,1.36983,2.03688,1.42253,0.39063,0.45197,0.37676,0.23917,1.42267,2.12089,1.46506,0.00769,0.00769,0.00769
9,64.6055,1.36871,2.02794,1.41449,0.37597,0.30937,0.26986,0.17138,1.39501,2.46471,1.4306,0.00736,0.00736,0.00736
10,71.4732,1.30928,1.89632,1.39723,0.39854,0.38725,0.34621,0.22158,1.38457,2.2313,1.43506,0.00703,0.00703,0.00703
11,78.2528,1.31979,1.83776,1.37933,0.46424,0.45535,0.40203,0.25846,1.32909,2.00382,1.41632,0.0067,0.0067,0.0067
12,85.0788,1.26778,1.78562,1.34563,0.43943,0.49823,0.42658,0.27546,1.33095,1.8533,1.39284,0.00637,0.00637,0.00637
13,91.7394,1.26962,1.77089,1.36477,0.50486,0.43528,0.44166,0.2988,1.36498,1.82721,1.43785,0.00604,0.00604,0.00604
14,98.492,1.24202,1.6886,1.34566,0.50487,0.45105,0.43942,0.28958,1.28802,1.81902,1.36602,0.00571,0.00571,0.00571
15,105.173,1.22579,1.66,1.33325,0.53871,0.47641,0.46563,0.31379,1.27088,1.76879,1.34601,0.00538,0.00538,0.00538
16,111.899,1.22985,1.63609,1.32052,0.53565,0.50676,0.49505,0.33132,1.26425,1.74636,1.37521,0.00505,0.00505,0.00505
17,118.845,1.2384,1.57716,1.30905,0.51669,0.5401,0.50763,0.3358,1.26067,1.6656,1.34818,0.00472,0.00472,0.00472
18,125.66,1.20622,1.57477,1.30421,0.50061,0.53547,0.49784,0.32606,1.27039,1.63522,1.31346,0.00439,0.00439,0.00439
19,132.437,1.1778,1.503,1.30358,0.51506,0.53055,0.50491,0.34219,1.2469,1.65205,1.33179,0.00406,0.00406,0.00406
20,139.131,1.19082,1.47546,1.28783,0.49545,0.53627,0.50045,0.33229,1.26705,1.71972,1.35497,0.00373,0.00373,0.00373
21,146.596,1.12876,1.47557,1.2634,0.53456,0.53603,0.50764,0.33616,1.28836,1.62306,1.35127,0.0034,0.0034,0.0034
22,153.26,1.11463,1.45987,1.25971,0.53396,0.52218,0.50473,0.33726,1.27473,1.59511,1.3551,0.00307,0.00307,0.00307
23,160.033,1.09881,1.41203,1.24418,0.63193,0.52745,0.55342,0.36973,1.22515,1.52225,1.32261,0.00274,0.00274,0.00274
24,166.689,1.0645,1.34779,1.22553,0.51109,0.56388,0.53024,0.36711,1.22296,1.56934,1.33157,0.00241,0.00241,0.00241
25,173.315,1.06098,1.34624,1.2252,0.60445,0.51998,0.55133,0.37719,1.21436,1.56579,1.33327,0.00208,0.00208,0.00208
26,179.936,1.03586,1.26852,1.21118,0.57003,0.54282,0.55959,0.3891,1.19393,1.49124,1.29232,0.00175,0.00175,0.00175
27,186.546,1.01347,1.2361,1.19254,0.61444,0.57522,0.57625,0.39729,1.17785,1.44488,1.29729,0.00142,0.00142,0.00142
28,193.134,1.0082,1.18526,1.18667,0.59534,0.53572,0.55982,0.38139,1.18793,1.48918,1.3083,0.00109,0.00109,0.00109
29,199.581,1.01556,1.20089,1.18848,0.61723,0.5432,0.57187,0.39879,1.18595,1.47216,1.31317,0.00076,0.00076,0.00076
30,206.424,0.96235,1.14187,1.16794,0.63527,0.52305,0.5756,0.39618,1.16925,1.4619,1.28982,0.00043,0.00043,0.00043
