epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.91809,1.30347,3.75558,1.43558,0.00868,0.4102,0.10533,0.08398,1.14141,3.62098,1.30665,0.0688611,0.00163889,0.00163889
2,16.2789,1.28877,3.21997,1.4045,0.27838,0.25319,0.22901,0.16623,1.19002,2.84047,1.36241,0.0370854,0.00319647,0.00319647
3,23.6039,1.28117,2.74841,1.41627,0.35319,0.34631,0.29392,0.20826,1.21565,2.42288,1.40067,0.00519961,0.00464406,0.00464406
4,30.5855,1.2752,2.52598,1.39422,0.37315,0.39439,0.29918,0.20312,1.28122,2.36546,1.39704,0.004505,0.004505,0.004505
5,37.5448,1.23673,2.34615,1.36968,0.39376,0.43404,0.36747,0.25944,1.24382,2.18607,1.3906,0.00434,0.00434,0.00434
6,44.5966,1.23684,2.24038,1.37827,0.45304,0.41531,0.40523,0.28287,1.26036,2.08038,1.38955,0.004175,0.004175,0.004175
7,51.5676,1.22202,2.095,1.34625,0.44278,0.47757,0.4295,0.29942,1.17625,2.05417,1.34855,0.00401,0.00401,0.00401
8,58.5192,1.19141,2.03857,1.32819,0.46235,0.46076,0.43451,0.30745,1.16436,1.94818,1.3333,0.003845,0.003845,0.003845
9,65.7595,1.19679,2.03447,1.32145,0.47881,0.47893,0.44549,0.31908,1.1884,1.9359,1.33229,0.00368,0.00368,0.00368
10,72.6875,1.14898,1.87841,1.30187,0.46626,0.52353,0.48311,0.33735,1.17327,1.88854,1.30514,0.003515,0.003515,0.003515
11,79.5775,1.16297,1.84513,1.28444,0.5789,0.4921,0.51672,0.36424,1.15737,1.79138,1.28153,0.00335,0.00335,0.00335
12,86.5534,1.13735,1.81869,1.26827,0.54141,0.51002,0.49466,0.34929,1.18176,1.83803,1.29297,0.003185,0.003185,0.003185
13,93.5432,1.12646,1.80924,1.27114,0.60452,0.48867,0.5215,0.37097,1.12682,1.80115,1.2925,0.00302,0.00302,0.00302
14,100.385,1.10939,1.74687,1.262,0.49454,0.53515,0.52444,0.37887,1.12531,1.70867,1.26516,0.002855,0.002855,0.002855
15,107.294,1.09869,1.69776,1.2485,0.57253,0.55052,0.55012,0.38843,1.15587,1.68526,1.27113,0.00269,0.00269,0.00269
16,114.391,1.10666,1.7033,1.23726,0.59203,0.50011,0.53957,0.38634,1.14553,1.70889,1.28453,0.002525,0.002525,0.002525
17,121.62,1.11991,1.6484,1.23797,0.56719,0.5186,0.52695,0.37335,1.14207,1.73971,1.26627,0.00236,0.00236,0.00236
18,128.6,1.09843,1.6499,1.23554,0.57837,0.52759,0.54189,0.3795,1.10496,1.64294,1.24468,0.002195,0.002195,0.002195
19,135.641,1.06282,1.5992,1.22929,0.5753,0.54166,0.55064,0.38959,1.11476,1.67636,1.24776,0.00203,0.00203,0.00203
20,142.735,1.09903,1.57975,1.2311,0.56511,0.52878,0.53755,0.38456,1.13099,1.68906,1.26954,0.001865,0.001865,0.001865
21,150.404,1.0305,1.72116,1.2034,0.56432,0.56958,0.55874,0.38875,1.12442,1.67046,1.25918,0.0017,0.0017,0.0017
22,157.32,1.02232,1.66793,1.20227,0.55658,0.58637,0.56467,0.39248,1.12049,1.58687,1.25274,0.001535,0.001535,0.001535
23,164.132,1.00484,1.62947,1.18491,0.65758,0.52207,0.58833,0.41479,1.1213,1.57641,1.26051,0.00137,0.00137,0.00137
24,170.955,0.98135,1.5839,1.16149,0.59679,0.51775,0.56595,0.40857,1.10915,1.6063,1.24579,0.001205,0.001205,0.001205
25,177.825,0.99681,1.59677,1.17927,0.5821,0.56265,0.58288,0.41639,1.09216,1.58121,1.2432,0.00104,0.00104,0.00104
26,184.704,0.97009,1.52937,1.16366,0.5306,0.61459,0.56807,0.40131,1.12528,1.59346,1.24962,0.000875,0.000875,0.000875
27,191.536,0.97498,1.52179,1.16834,0.57792,0.57889,0.58922,0.42033,1.11081,1.56117,1.24959,0.00071,0.00071,0.00071
28,198.319,0.95966,1.50333,1.155,0.59953,0.55663,0.59668,0.42461,1.11888,1.53466,1.2542,0.000545,0.000545,0.000545
29,205.482,0.98461,1.54567,1.16532,0.55366,0.6067,0.59154,0.42184,1.10665,1.53597,1.24095,0.00038,0.00038,0.00038
30,212.192,0.94227,1.48753,1.15365,0.56328,0.59125,0.59247,0.42121,1.10521,1.55508,1.24463,0.000215,0.000215,0.000215
